ID,y_probs,y_pred,y_true,mask
pepID2253,"[0.03547045215964317, 0.3502642512321472, 0.6142652630805969]",2,1,1
polyID31_S19,"[0.0026942365802824497, 0.5607084035873413, 0.4365973174571991]",1,0,1
polyID28_S49,"[0.9793462753295898, 0.005259849596768618, 0.015393913723528385]",0,0,1
polyID22_S19,"[0.008124888874590397, 0.9421787858009338, 0.04969627782702446]",1,1,1
pepID8403,"[0.8621006011962891, 0.0518304705619812, 0.08606882393360138]",0,0,1
pepID9276,"[0.6047093272209167, 0.19153811037540436, 0.2037525177001953]",0,0,1
pepID9876,"[0.8504872918128967, 0.056246258318424225, 0.09326639771461487]",0,0,1
pepID9738,"[0.7080525159835815, 0.12703095376491547, 0.16491661965847015]",0,0,1
pepID5950,"[0.982947051525116, 0.00353168579749763, 0.01352121401578188]",0,0,1
pepID3579,"[0.0680798664689064, 0.45891183614730835, 0.47300833463668823]",2,1,1
pepID1151,"[0.1376386135816574, 0.4244832694530487, 0.4378781318664551]",2,1,1
polyID23_S54,"[0.0021642267238348722, 0.1347326934337616, 0.8631031513214111]",2,1,1
pepID9792,"[0.9757658243179321, 0.006268185563385487, 0.017966026440262794]",0,0,1
pepID2371,"[0.15530817210674286, 0.4552231431007385, 0.3894686996936798]",1,0,1
pepID4343,"[0.06116846576333046, 0.39988046884536743, 0.53895103931427]",2,2,1
pepID10811,"[0.5159392356872559, 0.24724051356315613, 0.2368202656507492]",0,0,1
pepID3669,"[0.09006773680448532, 0.527181088924408, 0.3827512264251709]",1,0,1
pepID8030,"[0.37322959303855896, 0.372460275888443, 0.25431016087532043]",0,0,1
pepID5675,"[0.8764128088951111, 0.043274275958538055, 0.08031291514635086]",0,0,1
pepID2768,"[0.07014580816030502, 0.45136168599128723, 0.4784924387931824]",2,1,1
pepID7396,"[0.7136136293411255, 0.14067809283733368, 0.14570824801921844]",0,0,1
pepID6542,"[0.9696238040924072, 0.008768320083618164, 0.021607981994748116]",0,0,1
pepID3381,"[0.03344211354851723, 0.3957415819168091, 0.5708162784576416]",2,2,1
pepID2912,"[0.15447525680065155, 0.41767004132270813, 0.4278546869754791]",2,2,1
pepID722,"[0.1937224566936493, 0.515852689743042, 0.29042479395866394]",1,2,1
pepID611,"[0.3680644631385803, 0.33422985672950745, 0.2977057099342346]",0,1,1
polyID18_S72,"[0.0007443176000379026, 0.35211145877838135, 0.6471441984176636]",2,2,1
pepID3600,"[0.02451399900019169, 0.38148975372314453, 0.5939962863922119]",2,1,1
polyID25_S63,"[0.9993909597396851, 3.094209387199953e-05, 0.0005780195351690054]",0,0,1
polyID22_S33,"[0.03195289149880409, 0.9192623496055603, 0.04878472164273262]",1,1,1
polyID12_S69,"[0.0059653413482010365, 0.9016714096069336, 0.09236329048871994]",1,1,1
polyID12_S19,"[0.008996482938528061, 0.9044149518013, 0.08658849447965622]",1,1,1
pepID414,"[0.8250958323478699, 0.07618142664432526, 0.09872271865606308]",0,1,1
pepID3970,"[0.08330065757036209, 0.3622652292251587, 0.5544341206550598]",2,1,1
pepID9755,"[0.21612834930419922, 0.5283166170120239, 0.25555506348609924]",1,0,1
pepID2618,"[0.09356556832790375, 0.39312583208084106, 0.513308584690094]",2,1,1
polyID31_S67,"[0.010712162591516972, 0.8848616480827332, 0.10442614555358887]",1,0,1
pepID2107,"[0.06448385119438171, 0.37683549523353577, 0.5586806535720825]",2,2,1
pepID9582,"[0.3446848392486572, 0.28484055399894714, 0.37047457695007324]",2,0,1
pepID157,"[0.09903471171855927, 0.4493957459926605, 0.4515695571899414]",2,2,1
pepID8960,"[0.7577607035636902, 0.10096058994531631, 0.1412787288427353]",0,0,1
polyID32_S23,"[6.558623135788366e-05, 0.029792925342917442, 0.9701415300369263]",2,2,1
polyID11_S1,"[0.0019044348737224936, 0.6829618215560913, 0.3151337504386902]",1,1,1
pepID969,"[0.8270752429962158, 0.06655269116163254, 0.10637217015028]",0,2,1
pepID4783,"[0.26712119579315186, 0.47043105959892273, 0.26244768500328064]",1,0,1
pepID3044,"[0.07610853761434555, 0.3708852231502533, 0.5530062317848206]",2,1,1
pepID287,"[0.017353147268295288, 0.255859911441803, 0.7267869710922241]",2,2,1
pepID10297,"[0.8766301274299622, 0.04080033674836159, 0.0825694352388382]",0,0,1
pepID3172,"[0.05619669705629349, 0.4448690414428711, 0.498934268951416]",2,1,1
pepID6860,"[0.8185099959373474, 0.07433197647333145, 0.10715798288583755]",0,0,1
pepID3159,"[0.014762401580810547, 0.29264092445373535, 0.6925967335700989]",2,1,1
polyID18_S83,"[0.0005541145801544189, 0.2920739948749542, 0.7073718905448914]",2,2,1
pepID728,"[0.21486429870128632, 0.5419262647628784, 0.24320948123931885]",1,1,1
pepID6296,"[0.6958637237548828, 0.1510287970304489, 0.1531074345111847]",0,0,1
pepID10842,"[0.8932338953018188, 0.0344463512301445, 0.07231973111629486]",0,0,1
pepID2950,"[0.09420747309923172, 0.38450536131858826, 0.5212870836257935]",2,1,1
