ID,y_probs,y_pred,y_true,mask
pepID8570,"[0.9879850745201111, 0.0013906039530411363, 0.010624265298247337]",0,0,1
pepID6591,"[0.0031108558177948, 0.1333724707365036, 0.8635166883468628]",2,0,1
pepID6005,"[0.8548263311386108, 0.04141109436750412, 0.10376258939504623]",0,0,1
pepID1547,"[0.023935768753290176, 0.3140566945075989, 0.6620075106620789]",2,1,1
pepID241,"[0.07391591370105743, 0.3820246458053589, 0.5440593957901001]",2,2,1
polyID23_S33,"[0.0015142785850912333, 0.1739337146282196, 0.8245519995689392]",2,1,1
pepID9574,"[0.922859251499176, 0.0177096389234066, 0.059431154280900955]",0,0,1
pepID2075,"[0.007574809715151787, 0.19404837489128113, 0.7983768582344055]",2,2,1
polyID23_S28,"[0.0005723795620724559, 0.11943221837282181, 0.8799954056739807]",2,1,1
pepID5381,"[0.6361724138259888, 0.17935381829738617, 0.18447379767894745]",0,0,1
pepID2245,"[0.08511855453252792, 0.40001437067985535, 0.5148670077323914]",2,2,1
pepID6831,"[0.9678037166595459, 0.005254876799881458, 0.026941344141960144]",0,0,1
pepID913,"[0.12220809608697891, 0.48161017894744873, 0.39618176221847534]",1,0,1
pepID8253,"[0.9840351939201355, 0.0013750499347224832, 0.014589660800993443]",0,0,1
pepID2284,"[0.05892191827297211, 0.3647831380367279, 0.5762949585914612]",2,2,1
pepID2604,"[0.021641014143824577, 0.2922237813472748, 0.6861351728439331]",2,2,1
pepID8989,"[0.5140504837036133, 0.27498120069503784, 0.21096833050251007]",0,0,1
polyID50_S72,"[0.22966384887695312, 0.6706576943397522, 0.0996783971786499]",1,1,1
pepID3087,"[0.03471437469124794, 0.33295485377311707, 0.6323308348655701]",2,2,1
pepID934,"[0.054615918546915054, 0.4460996985435486, 0.49928444623947144]",2,0,1
pepID5002,"[0.01222574058920145, 0.2641660273075104, 0.7236082553863525]",2,1,1
pepID7809,"[0.9482309818267822, 0.010614093393087387, 0.041154976934194565]",0,0,1
polyID12_S100,"[0.017702778801321983, 0.8954813480377197, 0.08681587129831314]",1,1,1
pepID8443,"[0.9687325954437256, 0.00518184807151556, 0.026085518300533295]",0,0,1
polyID11_S61,"[0.002174288732931018, 0.6522916555404663, 0.3455340266227722]",1,1,1
polyID32_S61,"[0.00023468882136512548, 0.1037820503115654, 0.8959832191467285]",2,2,1
pepID10789,"[0.5550985336303711, 0.24330340325832367, 0.20159809291362762]",0,0,1
pepID4488,"[0.06360075622797012, 0.3992266058921814, 0.5371726155281067]",2,1,1
pepID5281,"[0.7513651251792908, 0.09549015015363693, 0.15314462780952454]",0,0,1
polyID36_S99,"[0.13782906532287598, 0.7895919680595398, 0.07257888466119766]",1,2,1
pepID2228,"[0.0031315607484430075, 0.14813511073589325, 0.8487332463264465]",2,2,1
polyID50_S1,"[0.21516987681388855, 0.6856700778007507, 0.09916003048419952]",1,1,1
pepID1833,"[0.04239270091056824, 0.3563377261161804, 0.6012696027755737]",2,2,1
polyID40_S73,"[0.00019153176981490105, 0.0931190773844719, 0.9066894054412842]",2,2,1
pepID3505,"[0.9409147500991821, 0.010526043362915516, 0.04855910688638687]",0,2,1
pepID10864,"[0.8479079008102417, 0.04445983096957207, 0.10763231664896011]",0,0,1
pepID8565,"[0.7587006092071533, 0.09373534470796585, 0.147564098238945]",0,0,1
pepID3197,"[0.10894829034805298, 0.5087794661521912, 0.38227221369743347]",1,1,1
pepID5595,"[0.8936269879341125, 0.025090942159295082, 0.08128209412097931]",0,0,1
polyID36_S23,"[0.10599423944950104, 0.8289393186569214, 0.06506644934415817]",1,2,1
pepID3053,"[0.10013089329004288, 0.4261713922023773, 0.4736977219581604]",2,1,1
pepID732,"[0.1402699202299118, 0.46651408076286316, 0.39321601390838623]",1,2,1
polyID41_S47,"[0.5404289960861206, 0.3162607252597809, 0.1433102786540985]",0,1,1
polyID18_S45,"[0.0006448772619478405, 0.2459688037633896, 0.7533863186836243]",2,2,1
pepID7010,"[0.9113132357597351, 0.01888485625386238, 0.06980200856924057]",0,0,1
polyID36_S52,"[0.13445472717285156, 0.7957512736320496, 0.0697939470410347]",1,2,1
pepID2969,"[0.022410137578845024, 0.3100447654724121, 0.6675450801849365]",2,1,1
pepID10246,"[0.9461453557014465, 0.0108357397839427, 0.04301881790161133]",0,0,1
polyID36_S33,"[0.1358085423707962, 0.7958667874336243, 0.06832470744848251]",1,2,1
pepID3346,"[0.17767082154750824, 0.4456959366798401, 0.37663328647613525]",1,2,1
polyID11_S97,"[0.0039058441761881113, 0.751972496509552, 0.24412167072296143]",1,1,1
pepID2345,"[0.1959809958934784, 0.49857428669929504, 0.3054446578025818]",1,1,1
polyID18_S70,"[0.00039088199264369905, 0.19083741307258606, 0.8087716698646545]",2,2,1
polyID25_S14,"[0.9989864230155945, 1.6693431462044828e-05, 0.000996920047327876]",0,0,1
pepID8071,"[0.9653217196464539, 0.0039638374000787735, 0.030714379623532295]",0,0,1
pepID10128,"[0.9565394520759583, 0.01003800705075264, 0.03342251852154732]",0,0,1
pepID7732,"[0.978424072265625, 0.003292365465313196, 0.01828363724052906]",0,0,1
polyID36_S98,"[0.1207197904586792, 0.8112635016441345, 0.06801671534776688]",1,2,1
polyID26_S55,"[0.08517177402973175, 0.8515053987503052, 0.06332286447286606]",1,0,1
polyID25_S35,"[0.9989864230155945, 1.6694179066689685e-05, 0.0009969423990696669]",0,0,1
polyID25_S9,"[0.9986382126808167, 2.796440639940556e-05, 0.001333847176283598]",0,0,1
pepID7198,"[0.9348803162574768, 0.015684140846133232, 0.04943547397851944]",0,0,1
polyID18_S62,"[0.000440820527728647, 0.22915193438529968, 0.7704072594642639]",2,2,1
pepID5333,"[0.9869974851608276, 0.0015743507537990808, 0.01142813079059124]",0,0,1
pepID2025,"[0.0780586525797844, 0.4219346046447754, 0.5000067949295044]",2,0,1
polyID26_S66,"[0.14532087743282318, 0.7770249843597412, 0.07765406370162964]",1,0,1
pepID4390,"[0.03214605897665024, 0.31365275382995605, 0.6542011499404907]",2,1,1
