ID,y_probs,y_pred,y_true,mask
pepID2326,"[0.06263437122106552, 0.4326542615890503, 0.504711389541626]",2,0,1
pepID7296,"[0.9722228646278381, 0.018652021884918213, 0.009125151671469212]",0,0,1
pepID1858,"[0.049441706389188766, 0.38780155777931213, 0.5627567172050476]",2,1,1
polyID31_S35,"[0.18004025518894196, 0.7246353626251221, 0.09532433748245239]",1,0,1
pepID9630,"[0.963374137878418, 0.026610007509589195, 0.01001597661525011]",0,0,1
pepID432,"[0.04408065602183342, 0.40432578325271606, 0.551593542098999]",2,1,1
pepID8704,"[0.977433979511261, 0.013784625567495823, 0.00878151599317789]",0,0,1
pepID9268,"[0.8207065463066101, 0.10308758914470673, 0.07620593905448914]",0,0,1
pepID8027,"[0.9600282907485962, 0.010366549715399742, 0.029605185613036156]",0,0,1
pepID6245,"[0.8839011192321777, 0.06402964144945145, 0.05206926167011261]",0,0,1
polyID22_S72,"[0.017156319692730904, 0.818962812423706, 0.1638808399438858]",1,1,1
polyID26_S84,"[0.004796231165528297, 0.8592357635498047, 0.13596795499324799]",1,0,1
pepID2101,"[0.019502226263284683, 0.26386862993240356, 0.716629147529602]",2,1,1
polyID50_S64,"[0.12522202730178833, 0.7969841361045837, 0.07779379189014435]",1,1,1
pepID7811,"[0.9724482297897339, 0.02095837891101837, 0.006593299098312855]",0,0,1
polyID50_S63,"[0.41856634616851807, 0.5596648454666138, 0.021768802776932716]",1,1,1
pepID2709,"[0.016838815063238144, 0.2896878123283386, 0.6934733390808105]",2,1,1
pepID10508,"[0.381233274936676, 0.30362170934677124, 0.3151450753211975]",0,0,1
pepID5597,"[0.8826378583908081, 0.0820847675204277, 0.035277385264635086]",0,0,1
pepID6799,"[0.5682160258293152, 0.23153957724571228, 0.20024441182613373]",0,0,1
pepID8037,"[0.8316472768783569, 0.1306527853012085, 0.03770001605153084]",0,0,1
pepID3044,"[0.11185169965028763, 0.5035585761070251, 0.3845897316932678]",1,1,1
polyID31_S61,"[0.3740910291671753, 0.598271906375885, 0.02763707935810089]",1,0,1
pepID3352,"[0.014793655835092068, 0.24804902076721191, 0.7371573448181152]",2,2,1
pepID5796,"[0.7691662311553955, 0.08109639585018158, 0.14973731338977814]",0,0,1
pepID8251,"[0.5411399602890015, 0.20622935891151428, 0.25263071060180664]",0,0,1
pepID4203,"[0.059033215045928955, 0.4263210892677307, 0.5146457552909851]",2,1,1
pepID1935,"[0.0552334226667881, 0.4168703258037567, 0.5278962850570679]",2,0,1
pepID4271,"[0.01727745682001114, 0.2573292851448059, 0.7253932356834412]",2,1,1
polyID26_S60,"[0.021326955407857895, 0.9022771716117859, 0.07639581710100174]",1,0,1
polyID30_S43,"[0.12210775911808014, 0.8612051010131836, 0.01668713614344597]",1,0,1
pepID5657,"[0.8568933606147766, 0.07957533001899719, 0.06353138387203217]",0,0,1
pepID9901,"[0.1990821659564972, 0.3990858197212219, 0.4018319547176361]",2,0,1
pepID3948,"[0.15802046656608582, 0.37091344594955444, 0.47106611728668213]",2,1,1
polyID30_S5,"[0.536070704460144, 0.4500345289707184, 0.013894687406718731]",0,0,1
pepID6842,"[0.9768214821815491, 0.01793402060866356, 0.005244523752480745]",0,0,1
polyID40_S42,"[1.2198731837997911e-06, 0.00011078552779508755, 0.9998879432678223]",2,2,1
pepID5675,"[0.8250983953475952, 0.08046477288007736, 0.09443680197000504]",0,0,1
pepID6873,"[0.9739515781402588, 0.020479043945670128, 0.005569388158619404]",0,0,1
pepID3254,"[0.005943006370216608, 0.17558245360851288, 0.8184745907783508]",2,2,1
polyID23_S39,"[1.164872855952126e-06, 0.00013761669106315821, 0.9998612403869629]",2,1,1
polyID40_S41,"[1.0377896160207456e-06, 0.00020665362535510212, 0.9997922778129578]",2,2,1
pepID618,"[0.017355741932988167, 0.2825135886669159, 0.7001307010650635]",2,1,1
polyID40_S13,"[5.598942607321078e-07, 0.00015918706776574254, 0.999840259552002]",2,2,1
pepID919,"[0.13439251482486725, 0.5981251001358032, 0.2674823999404907]",1,1,1
pepID615,"[0.1491958498954773, 0.6111330986022949, 0.2396710216999054]",1,2,1
polyID36_S100,"[0.8362985253334045, 0.15720778703689575, 0.006493717432022095]",0,2,1
pepID2375,"[0.07703791558742523, 0.4504389762878418, 0.47252321243286133]",2,1,1
pepID5786,"[0.42041492462158203, 0.3398837745189667, 0.23970122635364532]",0,0,1
polyID11_S12,"[0.0005328656989149749, 0.46427294611930847, 0.5351942777633667]",2,1,1
pepID2941,"[0.052112653851509094, 0.31285905838012695, 0.6350283026695251]",2,2,1
polyID22_S35,"[0.054993920028209686, 0.7411785125732422, 0.2038276493549347]",1,1,1
pepID9797,"[0.7055523991584778, 0.10901951044797897, 0.18542806804180145]",0,0,1
pepID7108,"[0.9694727063179016, 0.02184714935719967, 0.008680075407028198]",0,0,1
pepID5131,"[0.7552037239074707, 0.19554780423641205, 0.04924855753779411]",0,0,1
pepID1887,"[0.05020714923739433, 0.3972203731536865, 0.5525725483894348]",2,1,1
pepID3798,"[0.9543866515159607, 0.03701239824295044, 0.008600967936217785]",0,1,1
pepID2131,"[0.06683073192834854, 0.4193282723426819, 0.5138409733772278]",2,2,1
pepID5457,"[0.9376310706138611, 0.03767305240035057, 0.02469584345817566]",0,0,1
polyID50_S59,"[0.32568082213401794, 0.6368055939674377, 0.03751363605260849]",1,1,1
pepID4539,"[0.06544395536184311, 0.468697190284729, 0.4658588767051697]",1,1,1
polyID41_S6,"[0.8163235187530518, 0.16536493599414825, 0.018311547115445137]",0,1,1
pepID1194,"[0.1900087147951126, 0.3417156934738159, 0.4682755768299103]",2,2,1
pepID4859,"[0.2919612526893616, 0.5290452241897583, 0.1789935678243637]",1,1,1
polyID26_S66,"[0.04985577613115311, 0.8872044086456299, 0.06293991953134537]",1,0,1
pepID4659,"[0.03648208826780319, 0.3598402142524719, 0.6036777496337891]",2,2,1
polyID11_S27,"[0.002061384730041027, 0.48063382506370544, 0.5173047780990601]",2,1,1
polyID50_S46,"[0.40654662251472473, 0.5733070373535156, 0.020146293565630913]",1,1,1
pepID5785,"[0.8158422112464905, 0.06148650869727135, 0.12267129868268967]",0,0,1
pepID6870,"[0.7411713004112244, 0.1972844898700714, 0.061544179916381836]",0,0,1
pepID6449,"[0.962774932384491, 0.02948630601167679, 0.007738740183413029]",0,0,1
pepID1960,"[0.17403817176818848, 0.5385562181472778, 0.2874055802822113]",1,1,1
pepID3527,"[0.14351367950439453, 0.5718827843666077, 0.2846035361289978]",1,2,1
pepID7524,"[0.8677021861076355, 0.1036260724067688, 0.028671661391854286]",0,0,1
pepID8388,"[0.9549560546875, 0.03164413943886757, 0.013399780727922916]",0,0,1
pepID3889,"[0.16720934212207794, 0.5707046985626221, 0.2620859444141388]",1,1,1
pepID4295,"[0.055393192917108536, 0.31837671995162964, 0.626230001449585]",2,2,1
polyID22_S42,"[0.024294650182127953, 0.8508633971214294, 0.12484191358089447]",1,1,1
pepID5781,"[0.9184624552726746, 0.04027527943253517, 0.04126224294304848]",0,0,1
polyID30_S35,"[0.10727538168430328, 0.8699683547019958, 0.022756284102797508]",1,0,1
pepID9755,"[0.11457706987857819, 0.5633238554000854, 0.32209911942481995]",1,0,1
pepID1414,"[0.0939854085445404, 0.45317551493644714, 0.45283904671669006]",1,1,1
polyID25_S12,"[0.9980410933494568, 0.0014598947018384933, 0.0004990036250092089]",0,0,1
pepID1386,"[0.01979665271937847, 0.25602394342422485, 0.7241794466972351]",2,2,1
pepID6064,"[0.7767540812492371, 0.07914610207080841, 0.14409975707530975]",0,0,1
polyID50_S72,"[0.12000984698534012, 0.8193632364273071, 0.06062689796090126]",1,1,1
pepID10992,"[0.1000322550535202, 0.4585222601890564, 0.4414454698562622]",1,0,1
polyID18_S42,"[0.0005668249796144664, 0.24799448251724243, 0.7514387369155884]",2,2,1
pepID10507,"[0.3440062701702118, 0.3208421766757965, 0.3351515531539917]",0,0,1
pepID3669,"[0.1264834702014923, 0.5889983177185059, 0.2845182418823242]",1,0,1
pepID4763,"[0.35575756430625916, 0.3861568868160248, 0.2580855190753937]",1,2,1
polyID26_S54,"[0.006876063998788595, 0.8674603700637817, 0.12566353380680084]",1,0,1
