ID,y_probs,y_pred,y_true,mask
polyID31_S69,"[0.003121958114206791, 0.7321425080299377, 0.26473554968833923]",1,0,1
polyID22_S68,"[0.45667022466659546, 0.5103905200958252, 0.032939232885837555]",1,1,1
polyID9_S43,"[0.08542521297931671, 0.8856919407844543, 0.02888285554945469]",1,0,1
pepID5837,"[0.9374572038650513, 0.008614330552518368, 0.05392853170633316]",0,0,1
pepID478,"[0.15774132311344147, 0.5616537928581238, 0.28060492873191833]",1,1,1
pepID8108,"[0.7216651439666748, 0.001470336108468473, 0.27686455845832825]",0,0,1
polyID11_S13,"[0.0037460457533597946, 0.7558555603027344, 0.24039846658706665]",1,1,1
polyID22_S60,"[0.031854670494794846, 0.927828848361969, 0.040316518396139145]",1,1,1
polyID12_S87,"[0.0007340260781347752, 0.5321148633956909, 0.46715107560157776]",1,1,1
pepID7245,"[0.9170085191726685, 0.03289476037025452, 0.050096623599529266]",0,0,1
polyID23_S55,"[8.684053227625554e-07, 0.0052366978488862514, 0.9947624802589417]",2,1,1
polyID40_S40,"[2.747769372035691e-07, 0.003939823713153601, 0.9960598349571228]",2,2,1
pepID9975,"[0.9286035299301147, 0.03617286682128906, 0.035223644226789474]",0,0,1
pepID8927,"[0.9230613708496094, 0.0467500276863575, 0.030188636854290962]",0,0,1
pepID4968,"[0.0830819308757782, 0.49137434363365173, 0.42554372549057007]",1,1,1
pepID4557,"[0.13663434982299805, 0.45329585671424866, 0.4100697636604309]",1,0,1
polyID28_S27,"[0.9733431339263916, 0.0120862927287817, 0.014570560306310654]",0,0,1
pepID9491,"[0.9128447771072388, 0.04385991021990776, 0.04329530894756317]",0,0,1
pepID8115,"[0.9059995412826538, 0.06265387684106827, 0.03134661912918091]",0,0,1
pepID6999,"[0.9248057007789612, 0.015296155586838722, 0.05989823862910271]",0,0,1
pepID10600,"[0.9595701098442078, 0.014617031440138817, 0.025812819600105286]",0,0,1
pepID93,"[0.015305893495678902, 0.3689396381378174, 0.6157544851303101]",2,2,1
pepID4269,"[0.5872975587844849, 0.268841415643692, 0.1438610851764679]",0,1,1
pepID6622,"[0.8650088310241699, 0.09499388933181763, 0.03999727591872215]",0,0,1
pepID3503,"[0.17854328453540802, 0.4357732832431793, 0.38568344712257385]",1,0,1
pepID214,"[0.19788074493408203, 0.48723962903022766, 0.3148795962333679]",1,2,1
pepID7872,"[0.950371265411377, 0.02547222375869751, 0.024156514555215836]",0,0,1
pepID3893,"[0.784598708152771, 0.12791834771633148, 0.08748293668031693]",0,2,1
pepID5976,"[0.9730204939842224, 0.009121106006205082, 0.017858445644378662]",0,0,1
polyID23_S95,"[3.6068860254090396e-07, 0.004610506817698479, 0.9953891038894653]",2,1,1
pepID2367,"[0.4156653583049774, 0.36403194069862366, 0.2203027456998825]",0,1,1
pepID2676,"[0.844068706035614, 0.10128237307071686, 0.054648853838443756]",0,0,1
pepID7809,"[0.9630615711212158, 0.01477457769215107, 0.02216387540102005]",0,0,1
polyID41_S75,"[0.8312664031982422, 0.1389903873205185, 0.029743202030658722]",0,1,1
polyID40_S30,"[1.9309160848024476e-07, 0.00222894293256104, 0.9977709054946899]",2,2,1
pepID670,"[0.15962021052837372, 0.4980994760990143, 0.3422802686691284]",1,1,1
pepID10730,"[0.8941373825073242, 0.07498682290315628, 0.0308759193867445]",0,0,1
polyID50_S26,"[0.0018053620588034391, 0.6922839283943176, 0.3059106767177582]",1,1,1
pepID2078,"[0.01758464053273201, 0.2408050298690796, 0.7416103482246399]",2,2,1
polyID36_S65,"[0.08725738525390625, 0.8804174065589905, 0.032325223088264465]",1,2,1
pepID443,"[0.22137147188186646, 0.4722789227962494, 0.30634963512420654]",1,2,1
pepID4027,"[0.2994344234466553, 0.2799942195415497, 0.42057132720947266]",2,2,1
pepID8565,"[0.8254836201667786, 0.12433783710002899, 0.050178542733192444]",0,0,1
polyID36_S78,"[0.07792193442583084, 0.8882879614830017, 0.033790044486522675]",1,2,1
pepID10915,"[0.8730524182319641, 0.06217432767152786, 0.06477319449186325]",0,0,1
pepID3110,"[0.1725001186132431, 0.5042607188224792, 0.32323917746543884]",1,0,1
pepID6119,"[0.8839545249938965, 0.05553363636136055, 0.06051187217235565]",0,0,1
pepID8355,"[0.97175532579422, 0.00964838732033968, 0.01859629899263382]",0,0,1
pepID4564,"[0.6066465377807617, 0.22926166653633118, 0.16409185528755188]",0,1,1
pepID5747,"[0.8701362609863281, 0.09005847573280334, 0.039805252104997635]",0,0,1
pepID5860,"[0.9070791602134705, 0.04442444071173668, 0.04849645122885704]",0,0,1
pepID10679,"[0.9654178023338318, 0.013993416912853718, 0.020588841289281845]",0,0,1
pepID5007,"[0.06235440447926521, 0.6984590888023376, 0.23918648064136505]",1,2,1
polyID18_S25,"[0.001164381974376738, 0.7100954651832581, 0.2887401282787323]",1,2,1
polyID40_S34,"[2.545993424973858e-07, 0.0031467443332076073, 0.9968530535697937]",2,2,1
polyID18_S79,"[0.0016512847505509853, 0.6131862998008728, 0.38516247272491455]",1,2,1
pepID6028,"[0.8517765402793884, 0.09782985597848892, 0.05039367079734802]",0,0,1
pepID5036,"[0.054620396345853806, 0.31135544180870056, 0.6340241432189941]",2,1,1
polyID40_S38,"[6.172313078423031e-07, 0.006381567567586899, 0.9936177730560303]",2,2,1
pepID428,"[0.1812732219696045, 0.3754344880580902, 0.4432922899723053]",2,1,1
pepID2266,"[0.12285498529672623, 0.4090923070907593, 0.4680527448654175]",2,0,1
pepID2136,"[0.08948085457086563, 0.4330654740333557, 0.47745373845100403]",2,1,1
pepID472,"[0.22822634875774384, 0.6435412764549255, 0.12823237478733063]",1,1,1
pepID944,"[0.28995808959007263, 0.48388633131980896, 0.22615556418895721]",1,1,1
polyID32_S18,"[4.621941513960337e-07, 0.006158896721899509, 0.9938405752182007]",2,2,1
pepID1373,"[0.10668732225894928, 0.3411739468574524, 0.5521387457847595]",2,2,1
polyID31_S71,"[0.06278596073389053, 0.8684461712837219, 0.06876792013645172]",1,0,1
pepID9640,"[0.13640664517879486, 0.5370562672615051, 0.3265371024608612]",1,0,1
polyID18_S88,"[0.0006386344321072102, 0.5116745829582214, 0.48768678307533264]",1,2,1
polyID40_S91,"[2.039584217072843e-07, 0.002261162968352437, 0.9977385997772217]",2,2,1
pepID6240,"[0.965214729309082, 0.0135946748778224, 0.021190643310546875]",0,0,1
pepID8119,"[0.8839265704154968, 0.07829859852790833, 0.03777484968304634]",0,0,1
pepID1502,"[0.3866253197193146, 0.43299600481987, 0.1803787499666214]",1,2,1
pepID2205,"[0.6691381931304932, 0.21675239503383636, 0.11410943418741226]",0,1,1
polyID32_S36,"[2.8416988584467617e-07, 0.004078239668160677, 0.9959214925765991]",2,2,1
pepID7672,"[0.9409500360488892, 0.026732515543699265, 0.03231755271553993]",0,0,1
pepID6482,"[0.8005103468894958, 0.09996292740106583, 0.09952671080827713]",0,0,1
pepID951,"[0.3405550718307495, 0.5298904776573181, 0.12955453991889954]",1,1,1
